[1666445400, 0.66],
[1666531800, 0.51],
[1666618200, 0.45],
[1666704600, 0.45],
[1666791000, 0.44],
[1666877400, 0.38],
[1666963800, 0.36],
[1667050200, 0.34],
[1667136600, 0.39],
[1667223000, 0.43],
[1667309400, 0.47],
[1667395800, 0.47],
[1667482200, 0.54],
[1667568600, 0.58],
[1667655000, 0.49],
[1667741400, 0.39],
[1667827800, 0.41],
[1667914200, 0.38],
[1668000600, 0.38],
[1668087000, 0.32],
[1668173400, 0.32],
[1668259800, 0.27],
[1668346200, 0.23],
[1668432600, 0.24],
[1668519000, 0.25],
[1668605400, 0.24],
[1668691800, 0.22],
[1668778200, 0.22],
[1668864600, 0.22],
[1668951000, 0.25],
[1669037400, 0.25],
[1669123800, 0.24],
[1669210200, 0.26],
[1669296600, 0.26],
[1669383000, 0.25],
[1669469400, 0.24],
[1669555800, 0.24],
[1669642200, 0.25],
[1669728600, 0.26],
[1669815000, 0.25],
[1669901400, 0.24],
[1669987800, 0.24],
[1670074200, 0.25],
[1670160600, 0.25],
[1670247000, 0.25],
[1670333400, 0.26],
[1670419800, 0.27],
[1670506200, 0.28],
[1670592600, 0.27],
[1670679000, 0.27],
[1670765400, 0.28],
[1670851800, 0.27],
[1670938200, 0.25],
[1671024600, 0.23],
[1671111000, 0.18],
[1671197400, 0.24],
[1671283800, 0.19],
[1671370200, 0.2],
[1671456600, 0.21],
[1671543000, 0.1],
[1671629400, 0.06],
[1671715800, 0.05],
[1671802200, 0.05],
[1671888600, 0.04],
[1671975000, 0.04],
[1672061400, 0.04],
[1672147800, 0.06],
[1672234200, 0.05],
[1672320600, 0.04],
[1672407000, 0.04],
[1672493400, 0.05],
[1672579800, 0.04],
[1672666200, 0.04],
[1672752600, 0.04],
[1672839000, 0.05],
[1672925400, 0.06],
[1673011800, 0.07],
[1673098200, 0.07],
[1673184600, 0.08],
[1673271000, 0.08],
[1673357400, 0.09],
[1673443800, 0.09],
[1673530200, 0.09],
[1673616600, 0.09],
[1673703000, 0.09],
[1673789400, 0.09],
[1673875800, 0.08],
[1673962200, 0.09],
[1674048600, 0.09],
[1674135000, 0.1],
[1674221400, 0.11],
[1674307800, 0.11],
[1674394200, 0.12],
[1674480600, 0.12],
[1674567000, 0.11],
[1674653400, 0.11],
[1674739800, 0.11],
[1674826200, 0.1],
[1674912600, 0.1],
[1674999000, 0.09],
[1675085400, 0.08],
[1675171800, 0.09],
[1675258200, 0.09],
[1675344600, 0.09],
[1675431000, 0.09],
[1675517400, 0.1],
[1675603800, 0.1],
[1675690200, 0.09],
[1675776600, 0.09],
[1675863000, 0.09],
[1675949400, 0.08],
[1676035800, 0.08],
[1676122200, 0.08],
[1676208600, 0.08],
[1676295000, 0.08],
[1676381400, 0.09],
[1676467800, 0.09],
[1676554200, 0.1],
[1676640600, 0.1],
[1676727000, 0.11],
[1676813400, 0.1],
[1676899800, 0.1],
[1677072600, 0.1],
[1677159000, 0.12],
[1677245400, 0.12],
[1677331800, 0.11],
[1677418200, 0.11],
[1677504600, 0.13],
[1677591000, 0.18],
[1677677400, 0.21],
[1677763800, 0.22],
[1677850200, 0.18],
[1677936600, 0.17],
[1678023000, 0.17],
[1678109400, 0.16],
[1678195800, 0.15],
[1678282200, 0.16],
[1678368600, 0.17],
[1678455000, 0.18],
[1678541400, 0.19],
[1678627800, 0.2],
[1678714200, 0.23],
[1678800600, 0.29],
[1678887000, 0.39],
[1678973400, 0.34],
[1679059800, 0.28],
[1679146200, 0.3],
[1679232600, 0.33],
[1679319000, 0.4],
[1679405400, 0.57],
[1679491800, 0.44],
[1679578200, 0.43],
[1679664600, 0.59],
[1679751000, 0.57],
[1679837400, 0.66],
[1679923800, 0.57],
[1680010200, 0.51],
[1680096600, 0.54],
[1680183000, 0.51],
[1680269400, 0.48],
[1680355800, 0.48],
